ZIP,LOT AREA MEASUREMENT,lat,lng
70810,0.01,30.31487,-91.11739
70810,0.46,30.31491,-91.1131
70810,0.16,30.31497,-91.11426
70810,0.45,30.31506,-91.11288
70810,0.57,30.31506,-91.12504
70810,0.2,30.31506,-91.11741
70810,0.54,30.31507,-91.11255
70810,0.18,30.31508,-91.11719
70810,0.18,30.31508,-91.11701
70810,0.17,30.31509,-91.11685
70810,0.17,30.3151,-91.11669
70810,0.16,30.3151,-91.11432
70810,0.14,30.31511,-91.11638
70810,0.17,30.31511,-91.11653
70810,0.19,30.31512,-91.11623
70810,0.57,30.31512,-91.12162
70810,0.37,30.31514,-91.12345
70810,0.32,30.31516,-91.1139
70810,0.2,30.31519,-91.1233
70810,0.29,30.3152,-91.12318
70810,1.09,30.31522,-91.11214
70810,0.38,30.31522,-91.12291
70810,0.22,30.31523,-91.11585
70810,0.16,30.31523,-91.11433
70810,0.24,30.31527,-91.11489
70810,0.16,30.31527,-91.11568
70810,0.16,30.31528,-91.1152
70810,0.16,30.31528,-91.11535
70810,0.16,30.31529,-91.11503
70810,0.16,30.3153,-91.11552
70810,0.42,30.31531,-91.1227
70810,0.05,30.31532,-91.1175
70810,0.04,30.31536,-91.11624
70810,0.16,30.31537,-91.11437
70810,0.4,30.31541,-91.12248
70810,0.32,30.31543,-91.1139
70810,0.16,30.31543,-91.11673
70810,97.54,30.31546,-91.04455
70810,0.86,30.31546,-91.12411
70810,0.22,30.31547,-91.11738
70810,0.49,30.31548,-91.12164
70810,0.16,30.3155,-91.11442
70810,0.91,30.31551,-91.11185
70810,0.35,30.31553,-91.11332
70810,0.04,30.31555,-91.11625
70810,0.32,30.31556,-91.12381
70810,0.45,30.31561,-91.12237
70810,0.16,30.31564,-91.11443
70810,0.17,30.31564,-91.11545
70810,0.16,30.31565,-91.11571
70810,0.22,30.31565,-91.11586
70810,0.19,30.31565,-91.11739
70810,0.17,30.31566,-91.11511
70810,0.16,30.31566,-91.11556
70810,0.22,30.31567,-91.11498
70810,0.32,30.31567,-91.11392
70810,0.16,30.31567,-91.11527
70810,0.29,30.31567,-91.11308
70810,0.43,30.31573,-91.12162
70810,0.33,30.31574,-91.1236
70810,0.16,30.31577,-91.11697
70810,0.15,30.31577,-91.11683
70810,0.15,30.31578,-91.11669
70810,0.16,30.31578,-91.11448
70810,0.56,30.31578,-91.11217
70810,0.32,30.31579,-91.12228
70810,0.15,30.31579,-91.11642
70810,0.15,30.31579,-91.11656
70810,0.2,30.3158,-91.11626
70810,0.17,30.31581,-91.11739
70810,0.28,30.31585,-91.11293
70810,0.34,30.3159,-91.12345
70810,0.33,30.31591,-91.11337
70810,0.13,30.31593,-91.11441
70810,0.31,30.31595,-91.11407
70810,0.17,30.31596,-91.11739
70810,38.9,30.31597,-91.04983
70810,0.32,30.31599,-91.12163
70810,0.48,30.31604,-91.11207
70810,0.29,30.31604,-91.11284
70810,0.15,30.31607,-91.1145
70810,0.56,30.31607,-91.05018
70810,0.16,30.31611,-91.1174
70810,0.37,30.31612,-91.12335
70810,0.24,30.31618,-91.11597
70810,0.18,30.31618,-91.11698
70810,0.16,30.31619,-91.11683
70810,0.21,30.31619,-91.11634
70810,0.17,30.31619,-91.11667
70810,0.3,30.3162,-91.12165
70810,0.19,30.3162,-91.11555
70810,0.43,30.3162,-91.11327
70810,0.17,30.3162,-91.11652
70810,0.2,30.31621,-91.11537
70810,0.58,30.31622,-91.12422
70810,0.19,30.31622,-91.1152
70810,0.18,30.31622,-91.11502
70810,0.22,30.31623,-91.11458
70810,0.41,30.31624,-91.11413
70810,0.2,30.31625,-91.11575
70810,0.19,30.31627,-91.11481
70810,0.17,30.31627,-91.1174
70810,0.28,30.31628,-91.11286
70810,0.79,30.3163,-91.1223
70810,0.51,30.3163,-91.11214
70810,0.44,30.31631,-91.1239
70810,0.42,30.31639,-91.11348
70810,0.34,30.31641,-91.12167
70810,0.5,30.31642,-91.11386
70810,0.19,30.31644,-91.1174
70810,0.03,30.31645,-91.11638
70810,0.41,30.31646,-91.12293
70810,0.36,30.31653,-91.12357
70810,0.15,30.31653,-91.11681
70810,0.3,30.31654,-91.11294
70810,0.5,30.31656,-91.11217
70810,0.04,30.31658,-91.11752
70810,12.5,30.31658,-91.0515
70810,12.59,30.31658,-91.0515
70810,0.42,30.31663,-91.12174
70810,0.03,30.31665,-91.11639
70810,0.24,30.31665,-91.12426
70810,0.29,30.3167,-91.12276
70810,0.25,30.31678,-91.12403
70810,0.54,30.3168,-91.1246
70810,0.37,30.31683,-91.11385
70810,0.43,30.31683,-91.11304
70810,0.2,30.31683,-91.11748
70810,0.18,30.31685,-91.1173
70810,0.3,30.31685,-91.12259
70810,0.14,30.31686,-91.11697
70810,0.18,30.31686,-91.11712
70810,0.14,30.31687,-91.11684
70810,37.24,30.31687,-91.05234
70810,0.35,30.31687,-91.11441
70810,0.14,30.31687,-91.1167
70810,0.18,30.31688,-91.11566
70810,0.24,30.31688,-91.11605
70810,0.14,30.31688,-91.11657
70810,0.2,30.31689,-91.11641
70810,0.35,30.31689,-91.11408
70810,2,30.3169,-91.11478
70810,0.18,30.31691,-91.11587
70810,0.17,30.31691,-91.1153
70810,0.48,30.31691,-91.11346
70810,0.14,30.31692,-91.11516
70810,0.78,30.31693,-91.11236
70810,0.18,30.31693,-91.11547
70810,0.34,30.31694,-91.1232
70810,0.18,30.31694,-91.11496
70810,0.34,30.31695,-91.12383
70810,0.74,30.31695,-91.1217
70810,0.02,30.31704,-91.11752
70810,0.34,30.3171,-91.12244
70810,0.39,30.31713,-91.11313
70810,0.56,30.31718,-91.12469
70810,0.3,30.31719,-91.11446
70810,0.27,30.31722,-91.12332
70810,0.41,30.31723,-91.11242
70810,0.17,30.31724,-91.11749
70810,0.3,30.31725,-91.12224
70810,0.18,30.31725,-91.11715
70810,0.18,30.31725,-91.11732
70810,0.14,30.31726,-91.11699
70810,0.14,30.31727,-91.11686
70810,0.2,30.31727,-91.11643
70810,0.14,30.31727,-91.11673
70810,0.14,30.31728,-91.11659
70810,21.54,30.3173,-91.05501
70810,0.25,30.31733,-91.12451
70810,0.73,30.31735,-91.10985
70810,0.47,30.31735,-91.12416
70810,0.32,30.31736,-91.1147
70810,0.77,30.31736,-91.10919
70810,0.26,30.31737,-91.12206
70810,0.26,30.31737,-91.12206
70810,0.17,30.31738,-91.11589
70810,0.28,30.31739,-91.12303
70810,0.26,30.31739,-91.12345
70810,0.17,30.31741,-91.11559
70810,0.37,30.31743,-91.11392
70810,0.26,30.31745,-91.11602
70810,0.17,30.31745,-91.11546
70810,0.41,30.31746,-91.11255
70810,0.28,30.31746,-91.12285
70810,0.17,30.31748,-91.11574
70810,0.2,30.31749,-91.11751
70810,0.14,30.31752,-91.11526
70810,0.26,30.31754,-91.12361
70810,0.58,30.31759,-91.12172
70810,0.35,30.3176,-91.11411
70810,0.41,30.31762,-91.11333
70810,0.51,30.31762,-91.12468
70810,0.29,30.31763,-91.11486
70810,38.9,30.31763,-91.04972
70810,0.28,30.31768,-91.12266
70810,0.32,30.31768,-91.12322
70810,0.39,30.3177,-91.11269
70810,0.59,30.31773,-91.10999
70810,0.43,30.31776,-91.12494
70810,0.4,30.31779,-91.11347
70810,0.3,30.3178,-91.12389
70810,0.2,30.3178,-91.11747
70810,0.64,30.31781,-91.10906
70810,0.18,30.31781,-91.11729
70810,0.28,30.31782,-91.11498
70810,0.18,30.31782,-91.11712
70810,0.18,30.31783,-91.11694
70810,0.2,30.31783,-91.11676
70810,0.29,30.31784,-91.12248
70810,0.22,30.31784,-91.11656
70810,0.74,30.31785,-91.12104
70810,0.3,30.31785,-91.11424
70810,0.21,30.31792,-91.11589
70810,0.2,30.31792,-91.11609
70810,0.68,30.31794,-91.1217
70810,0.34,30.31794,-91.11279
70810,0.18,30.31796,-91.11573
70810,0.26,30.31796,-91.12409
70810,0.4,30.31799,-91.11375
70810,0.67,30.31799,-91.12309
70810,0.28,30.318,-91.1155
70810,0.41,30.31803,-91.12225
70810,0.4,30.31806,-91.1251
70810,0.39,30.31806,-91.10991
70810,0.34,30.31807,-91.11443
70810,0.51,30.31807,-91.1078
70810,0.39,30.31809,-91.11708
70810,0.49,30.31812,-91.11498
70810,0.54,30.31814,-91.10825
70810,0.49,30.31814,-91.12334
70810,0.46,30.31814,-91.10921
70810,0.4,30.31817,-91.11392
70810,0.31,30.31817,-91.11304
70810,1.89,30.31818,-91.1193
70810,0.53,30.31819,-91.1074
70810,5.56,30.31821,-91.10863
70810,6.27,30.31822,-91.11115
70810,0.32,30.31823,-91.11467
70810,0.48,30.31826,-91.12375
70810,17.27,30.31833,-91.05751
70810,0.07,30.31835,-91.1158
70810,0.48,30.31836,-91.12418
70810,0.38,30.31836,-91.1099
70810,0.31,30.31838,-91.11311
70810,0.42,30.31842,-91.10923
70810,0.91,30.31842,-91.12505
70810,0.42,30.31843,-91.12439
70810,0.5,30.31845,-91.11409
70810,0.44,30.31849,-91.1084
70810,0.62,30.31851,-91.12474
70810,0.39,30.3186,-91.11002
70810,0.87,30.31863,-91.11989
70810,0.53,30.31864,-91.1074
70810,0.62,30.31864,-91.11323
70810,0.42,30.31873,-91.1093
70810,0.45,30.31877,-91.10837
70810,17.65,30.31879,-91.0614
70810,0.9,30.31881,-91.10377
70810,0.38,30.31886,-91.11008
70810,0.54,30.31886,-91.1076
70810,0.59,30.31894,-91.10631
70810,0.83,30.31894,-91.10335
70810,0.54,30.31895,-91.12059
70810,0.51,30.319,-91.12095
70810,0.45,30.31901,-91.10928
70810,0.39,30.31902,-91.10848
70810,0.46,30.31905,-91.10411
70810,0.44,30.31909,-91.10597
70810,0.64,30.31911,-91.10678
70810,0.53,30.31912,-91.12128
70810,0.51,30.31915,-91.10765
70810,0.58,30.31915,-91.12166
70810,0.45,30.31916,-91.10439
70810,0.35,30.31917,-91.10998
70810,0.45,30.31926,-91.10467
70810,0.57,30.31933,-91.12206
70810,2.23,30.31936,-91.11064
70810,0.69,30.31937,-91.10319
70810,0.56,30.31937,-91.12242
70810,0.41,30.31938,-91.10585
70810,0.42,30.31939,-91.10495
70810,0.44,30.31941,-91.11017
70810,0.36,30.31941,-91.10918
70810,0.43,30.31944,-91.10883
70810,0.56,30.31947,-91.12285
70810,0.51,30.31949,-91.10946
70810,0.59,30.31951,-91.10682
70810,0.42,30.31951,-91.10523
70810,0.51,30.31956,-91.10847
70810,0.52,30.31956,-91.12321
70810,0.38,30.31958,-91.1057
70810,0.58,30.31965,-91.10786
70810,117,30.31966,-91.02389
70810,0.43,30.31966,-91.10753
70810,0.52,30.31967,-91.12362
70810,0.11,30.31971,-91.1109
70810,0.34,30.31974,-91.10653
70810,0.39,30.31981,-91.10555
70810,0.46,30.31981,-91.10402
70810,0.56,30.31982,-91.12391
70810,0.76,30.31982,-91.11174
70810,0.42,30.31983,-91.1037
70810,0.98,30.31983,-91.1032
70810,0.41,30.31985,-91.10723
70810,128.22,30.31986,-91.11821
70810,26.49,30.31986,-91.11821
70810,10.47,30.31986,-91.11821
70810,16.78,30.31986,-91.11821
70810,66.19,30.31986,-91.11821
70810,0.73,30.31987,-91.12184
70810,0.47,30.31989,-91.10431
70810,34.08,30.3199,-91.05852
70810,0.34,30.31991,-91.10632
70810,0.52,30.31991,-91.12432
70810,0.45,30.31993,-91.11021
70810,0.52,30.31996,-91.11049
70810,0.47,30.31999,-91.11703
70810,0.43,30.32,-91.1099
70810,0.43,30.32001,-91.10889
70810,0.43,30.32002,-91.10956
70810,13.05,30.32002,-91.12701
70810,0.38,30.32004,-91.10701
70810,0.77,30.32004,-91.11239
70810,0.51,30.32004,-91.10458
70810,0.43,30.32005,-91.10922
70810,0.53,30.32008,-91.12464
70810,0.71,30.32009,-91.12257
70810,0.43,30.3201,-91.10854
70810,0.42,30.32011,-91.10609
70810,0.55,30.32011,-91.10486
70810,0.46,30.32012,-91.10819
70810,0.57,30.32016,-91.11189
70810,0.38,30.32019,-91.11671
70810,0.65,30.32019,-91.12172
70810,0.56,30.3202,-91.12501
70810,0.38,30.3202,-91.12318
70810,0.39,30.32021,-91.12348
70810,0.45,30.32022,-91.10788
70810,0.39,30.32023,-91.10678
70810,0.72,30.32025,-91.12524
70810,0.48,30.32026,-91.10513
70810,0.43,30.32037,-91.10542
70810,0.35,30.32037,-91.12376
70810,0.54,30.32039,-91.12261
70810,0.43,30.32039,-91.10761
70810,0.41,30.32041,-91.11643
70810,0.65,30.32043,-91.12552
70810,0.47,30.32043,-91.10653
70810,0.44,30.32044,-91.11753
70810,0.94,30.32052,-91.12091
70810,0.37,30.32052,-91.10568
70810,0.38,30.32053,-91.12409
70810,0.46,30.32053,-91.11194
70810,0.5,30.32058,-91.11619
70810,0.82,30.32058,-91.12181
70810,0.37,30.32058,-91.10739
70810,0.4,30.32062,-91.12438
70810,0.32,30.32065,-91.11713
70810,0.8,30.32066,-91.1203
70810,0.45,30.32067,-91.10591
70810,0.66,30.32073,-91.12343
70810,0.37,30.32075,-91.10719
70810,0.43,30.32078,-91.12377
70810,0.53,30.3208,-91.12544
70810,0.38,30.32081,-91.12456
70810,62.59,30.32082,-91.09768
70810,0.46,30.32082,-91.11587
70810,0.55,30.32082,-91.12247
70810,0.43,30.32084,-91.11695
70810,0.56,30.32088,-91.11211
70810,0.37,30.32092,-91.10698
70810,0.59,30.32097,-91.12116
70810,0.65,30.32097,-91.10606
70810,0.39,30.32098,-91.11561
70810,0.59,30.32099,-91.12406
70810,0.62,30.32102,-91.12321
70810,0.43,30.32107,-91.12486
70810,0.58,30.32109,-91.12037
70810,0.4,30.3211,-91.11529
70810,0.68,30.3211,-91.11674
70810,0.37,30.3211,-91.10678
70810,0.44,30.32113,-91.11494
70810,0.51,30.32115,-91.12241
70810,0.53,30.32115,-91.12241
70810,0.38,30.32116,-91.11462
70810,0.38,30.32116,-91.11432
70810,0.59,30.32119,-91.1131
70810,0.39,30.32119,-91.11372
70810,0.66,30.32121,-91.12165
70810,0.37,30.32121,-91.11343
70810,0.37,30.32122,-91.11403
70810,0.37,30.32127,-91.10657
70810,0.69,30.3213,-91.12408
70810,0.42,30.32135,-91.12481
70810,0.53,30.32136,-91.12056
70810,0.63,30.32139,-91.11238
70810,0.52,30.3214,-91.11683
70810,0.29,30.32141,-91.11059
70810,0.43,30.32142,-91.116
70810,0.37,30.32144,-91.10637
70810,0.28,30.32144,-91.11035
70810,0.28,30.32147,-91.10988
70810,0.28,30.32148,-91.11013
70810,0.53,30.32148,-91.12306
70810,0.28,30.32149,-91.10964
70810,0.28,30.32151,-91.10941
70810,0,30.32151,-91.10548
70810,0.64,30.32153,-91.12391
70810,0.28,30.32153,-91.10917
70810,0.29,30.32155,-91.10893
70810,0.6,30.32156,-91.12081
70810,0.41,30.32157,-91.10865
70810,0.42,30.32161,-91.10614
70810,0.41,30.32163,-91.12466
70810,0.42,30.32163,-91.11533
70810,0.38,30.32164,-91.11567
70810,0.36,30.32167,-91.10838
70810,0.55,30.32168,-91.12128
70810,1,30.32171,-91.1046
70810,13.15,30.32172,-91.05102
70810,0.59,30.32173,-91.11287
70810,0.36,30.32173,-91.1252
70810,0.36,30.32173,-91.11343
70810,0.42,30.32175,-91.11469
70810,0.41,30.32176,-91.11619
70810,0.53,30.3218,-91.10592
70810,0.44,30.3218,-91.11693
70810,0.4,30.3218,-91.12445
70810,0.28,30.3218,-91.10816
70810,0.5,30.3218,-91.12166
70810,0.42,30.32182,-91.11387
70810,0.51,30.32182,-91.12207
70810,0.5,30.32182,-91.11654
70810,0.42,30.32184,-91.11417
70810,0.5,30.32185,-91.12339
70810,0.53,30.32187,-91.1224
70810,0.38,30.32189,-91.11573
70810,0.26,30.3219,-91.11052
70810,0.28,30.32191,-91.10795
70810,6.93,30.32194,-91.10146
70810,0.24,30.32194,-91.1099
70810,0.51,30.32197,-91.12281
70810,0.5,30.32197,-91.10285
70810,0.34,30.32197,-91.10448
70810,0.35,30.32201,-91.11352
70810,0.92,30.32201,-91.10584
70810,0.47,30.32202,-91.12415
70810,0.28,30.32202,-91.10775
70810,0.43,30.32203,-91.11454
70810,0.44,30.32203,-91.10256
70810,0.33,30.32204,-91.11277
70810,0.38,30.32204,-91.10313
70810,0.62,30.32205,-91.12364
70810,0.19,30.32205,-91.11054
70810,0.3,30.32209,-91.10529
70810,0.28,30.32212,-91.10954
70810,0.18,30.32212,-91.10992
70810,0.31,30.32213,-91.10931
70810,0.33,30.32214,-91.10233
70810,0.34,30.32214,-91.11589
70810,0.29,30.32214,-91.10337
70810,0.28,30.32214,-91.10755
70810,0.34,30.32215,-91.10906
70810,0.34,30.32216,-91.10434
70810,0.3,30.32218,-91.10361
70810,0.41,30.32218,-91.10388
70810,0.33,30.32219,-91.10881
70810,0.31,30.32222,-91.10211
70810,0.57,30.32222,-91.11519
70810,0.19,30.32222,-91.11055
70810,0.29,30.32224,-91.10515
70810,0.28,30.32225,-91.10735
70810,0.16,30.32226,-91.10993
70810,0.4,30.32227,-91.11449
70810,0.32,30.32228,-91.10858
70810,0.34,30.32228,-91.11352
70810,0.31,30.32229,-91.10188
70810,0.33,30.32229,-91.11277
70810,7.41,30.32234,-91.1117
70810,0.31,30.32236,-91.10166
70810,0.51,30.32236,-91.12288
70810,0.28,30.32236,-91.10712
70810,0.19,30.32237,-91.11057
70810,0.27,30.32239,-91.10502
70810,0.44,30.3224,-91.10421
70810,0.31,30.3224,-91.10838
70810,0.31,30.32242,-91.10143
70810,0.2,30.32243,-91.10994
70810,0.49,30.32244,-91.11418
70810,0.59,30.32246,-91.1237
70810,0.28,30.32247,-91.10695
70810,353.45,30.32248,-91.08356
70810,0.31,30.32249,-91.10121
70810,0.31,30.32251,-91.10818
70810,0.33,30.32253,-91.11275
70810,0.19,30.32253,-91.11058
70810,0.81,30.32253,-91.1246
70810,0.47,30.32255,-91.10545
70810,0.36,30.32255,-91.11349
70810,0.31,30.32256,-91.10098
70810,0.26,30.32257,-91.10676
70810,0.42,30.32257,-91.11506
70810,0.26,30.32257,-91.10995
70810,0.35,30.32258,-91.10488
70810,0.45,30.32261,-91.11397
70810,0.31,30.32262,-91.10798
70810,0.29,30.32263,-91.10076
70810,1.77,30.32265,-91.10878
70810,0.31,30.32265,-91.10275
70810,0.35,30.32267,-91.10304
70810,0.18,30.32267,-91.11061
70810,0.29,30.32268,-91.10055
70810,0.31,30.3227,-91.10032
70810,0.35,30.3227,-91.10651
70810,0.25,30.32272,-91.10996
70810,0.24,30.32273,-91.10251
70810,0.25,30.32273,-91.1033
70810,0.31,30.32273,-91.10778
70810,0.31,30.32274,-91.10009
70810,0.47,30.32275,-91.11378
70810,0.49,30.32275,-91.11474
70810,0.36,30.32275,-91.10571
70810,0.25,30.32277,-91.10351
70810,0.31,30.32277,-91.09985
70810,0.24,30.32279,-91.10227
70810,0.32,30.3228,-91.09962
70810,0.25,30.32281,-91.10373
70810,0.33,30.32281,-91.11277
70810,0.37,30.32282,-91.10626
70810,0.32,30.32283,-91.09939
70810,0.73,30.32283,-91.12313
70810,0.73,30.32284,-91.1235
70810,0.31,30.32285,-91.10758
70810,0.25,30.32285,-91.10395
70810,0.24,30.32285,-91.10209
70810,0.29,30.32286,-91.11059
70810,0.38,30.32286,-91.10597
70810,0.32,30.3229,-91.1042
70810,0.24,30.32291,-91.10188
70810,0.34,30.32291,-91.11001
70810,0.37,30.32295,-91.10733
70810,0.24,30.32298,-91.10167
70810,0.41,30.32298,-91.12436
70810,0.6,30.32302,-91.11452
70810,0.44,30.32302,-91.10473
70810,0.47,30.32303,-91.11339
70810,0.24,30.32304,-91.10146
70810,34.77,30.32308,-91.05448
70810,0.24,30.3231,-91.10125
70810,0.39,30.3231,-91.10506
70810,0.86,30.32315,-91.10662
70810,0.27,30.32318,-91.10105
70810,0.04,30.32318,-91.10552
70810,0.48,30.32318,-91.11423
70810,0.41,30.32319,-91.11253
70810,0.41,30.3232,-91.11282
70810,0.49,30.32322,-91.11217
70810,3.83,30.32323,-91.10278
70810,0.57,30.32324,-91.12337
70810,0.45,30.32324,-91.12423
70810,0.41,30.32327,-91.11399
70810,0.35,30.32328,-91.10083
70810,489.08,30.32328,-91.03722
70810,0.08,30.32332,-91.10473
70810,0.32,30.32333,-91.10059
70810,0.33,30.32335,-91.10035
70810,0.32,30.32339,-91.09993
70810,0.32,30.3234,-91.10016
70810,0.31,30.32345,-91.0997
70810,0.44,30.32346,-91.1137
70810,0.3,30.32347,-91.09947
70810,0.3,30.32349,-91.09924
70810,0.44,30.32351,-91.12319
70810,50.93,30.32352,-91.12703
70810,0.46,30.32353,-91.12405
70810,0.44,30.32357,-91.11341
70810,0.4,30.32365,-91.1113
70810,0.41,30.32369,-91.12296
70810,0.4,30.3237,-91.11311
70810,0.48,30.32375,-91.12378
70810,0.36,30.32376,-91.11281
70810,0.43,30.32383,-91.12272
70810,0.33,30.32385,-91.11255
70810,0.41,30.32386,-91.11122
70810,0.39,30.32387,-91.11196
70810,0.32,30.32389,-91.11226
70810,0.36,30.32394,-91.12374
70810,0.38,30.324,-91.12254
70810,86.25,30.32404,-91.06706
70810,0.4,30.3241,-91.1113
70810,0.35,30.32412,-91.12344
70810,0.4,30.32418,-91.12225
70810,3.25,30.32418,-91.12048
70810,39.74,30.32431,-91.11339
70810,0.38,30.32433,-91.12331
70810,0.39,30.32433,-91.12198
70810,16.97,30.32439,-91.06084
70810,0.39,30.32444,-91.1217
70810,0.93,30.32446,-91.12368
70810,0.48,30.32448,-91.12283
70810,0.38,30.32451,-91.12141
70810,7.39,30.32456,-91.124
70810,17.26,30.32462,-91.06012
70810,0.4,30.32462,-91.12114
70810,0.41,30.32467,-91.12081
70810,0.45,30.32472,-91.12303
70810,2.47,30.32475,-91.02197
70810,81.48,30.32476,-91.13588
70810,0.39,30.32476,-91.12053
70810,222.51,30.32481,-91.13453
70810,0.39,30.32483,-91.12024
70810,16.22,30.32483,-91.05945
70810,0.5,30.32487,-91.12211
70810,0.35,30.32488,-91.11994
70810,2.62,30.3249,-91.0203
70810,0.59,30.32497,-91.12318
70810,0.31,30.32497,-91.11961
70810,0.45,30.32502,-91.11927
70810,3.75,30.32504,-91.01953
70810,0.42,30.32507,-91.11897
70810,0.44,30.3251,-91.1224
70810,0.32,30.32512,-91.12175
70810,0.36,30.32519,-91.11871
70810,2.9,30.32519,-91.02096
70810,0.56,30.32521,-91.11754
70810,0.29,30.32522,-91.12151
70810,2.39,30.32525,-91.02146
70810,0.35,30.32525,-91.11839
70810,0.48,30.32526,-91.11722
70810,0.31,30.32528,-91.12124
70810,0.32,30.32529,-91.12094
70810,0.39,30.3253,-91.11802
70810,0.59,30.32532,-91.12314
70810,0.19,30.32535,-91.11782
70810,3.01,30.32535,-91.02332
70810,0.34,30.3254,-91.12039
